LAT,LON,YEAR,MO,DY,PRECTOTCORR,WS10M,RH2M,QV2M,T2M_RANGE,ALLSKY_SFC_UV_INDEX
25.75,86.25,2016,5,26,3.16,1.97,39,12.7,10.37,1.74
25.75,86.25,2016,5,27,3.45,3.57,44.94,13.73,11.55,1.64
25.75,86.25,2016,5,28,17.61,2.25,55.47,15.53,11.93,1.73
25.75,86.25,2016,5,29,7.8,2.57,51.31,14.83,12.86,1.71
25.75,86.25,2016,5,30,5.23,2.82,44.97,13.52,12.95,1.85
25.75,86.25,2016,5,31,0.84,1.96,40.59,12.82,12.95,2.12
25.75,86.25,2016,6,1,1.63,1.86,45.66,14.31,12.23,1.69
25.75,86.25,2016,6,2,0.18,3.61,47.47,15.26,11.99,1.95
25.75,86.25,2016,6,3,0,3.64,49.25,16.27,11.7,2.16
25.75,86.25,2016,6,4,0.21,3.62,47.38,15.75,11.59,2.23
25.75,86.25,2016,6,5,0.11,3.36,46.25,15.87,10.99,2.27
25.75,86.25,2016,6,6,2.21,4.42,51.53,17.03,8.91,2.05
25.75,86.25,2016,6,7,6.64,2.73,53.09,17.52,9.62,1.99
25.75,86.25,2016,6,8,1.62,2.21,45.62,16.02,12.03,1.38
25.75,86.25,2016,6,9,12.09,2.43,52.25,17.61,7.02,1.43
25.75,86.25,2016,6,10,0.03,3.49,40.88,14.1,12.9,2.01
25.75,86.25,2016,6,11,0.15,2.8,33.5,12.33,13.91,1.89
25.75,86.25,2016,6,12,1.45,2.47,36.91,13.55,14.18,1.82
25.75,86.25,2016,6,13,12.16,2.46,48.12,16.75,9.95,1.87
25.75,86.25,2016,6,14,1,2.72,49.72,16.91,9.88,1.56
25.75,86.25,2016,6,15,9.77,2.02,48.5,17.06,10.48,1.48
25.75,86.25,2016,6,16,17.85,2.15,66.31,19.84,5.32,1.38
25.75,86.25,2016,6,17,3.43,3.09,61.94,18.22,8.18,1.45
25.75,86.25,2016,6,18,3.97,4.13,72.53,19.96,6.05,1.81
25.75,86.25,2016,6,19,1.85,3.32,62.88,18.8,9.62,1.95
25.75,86.25,2016,6,20,0.73,4,57.56,18.19,9.53,2.2
25.75,86.25,2016,6,21,44.67,3.8,66.84,19.99,6.48,0.97
25.75,86.25,2016,6,22,16.62,3.1,79.53,20.94,4.45,0.9
25.75,86.25,2016,6,23,2.75,2.66,71.47,19.81,8.49,1.9
25.75,86.25,2016,6,24,5.74,2.45,73.72,20.75,6.5,1.57
25.75,86.25,2016,6,25,3.48,2.65,70.53,20.14,8.37,1.86
25.75,86.25,2016,6,26,1.14,2.65,67.88,20.02,8.71,2.22
25.75,86.25,2016,6,27,3.82,2.77,66.47,20.02,8.09,1.93
25.75,86.25,2016,6,28,1.13,5.09,72.16,20.81,8.31,2.46
25.75,86.25,2016,6,29,0.1,3.27,67.94,20.17,8.94,2.44
25.75,86.25,2016,6,30,0.69,2.34,68.44,20.02,6.26,1.95
25.75,86.25,2016,7,1,1.66,4.2,72.78,20.45,6.7,1.91
25.75,86.25,2016,7,2,4.67,5.27,77.19,20.63,6.18,1.86
25.75,86.25,2016,7,3,5.67,4.94,80.25,21.64,6.69,1.09
25.75,86.25,2016,7,4,34.75,5.4,84.56,22.28,6.59,1.38
25.75,86.25,2016,7,5,16.39,4.23,81.59,21.94,6.91,0.89
25.75,86.25,2016,7,6,10.71,5.66,80.81,21.51,6.69,1.76
25.75,86.25,2016,7,7,13.41,4.96,80.88,22.03,7.51,1.8
25.75,86.25,2016,7,8,2.73,4.33,81.31,22.03,6.8,2.14
25.75,86.25,2016,7,9,1.66,4.55,78.22,21.7,7.78,2.41
25.75,86.25,2016,7,10,3.42,5.14,79.09,21,6.35,1.94
25.75,86.25,2016,7,11,5.41,4.73,79.47,21.36,7.3,2.09
25.75,86.25,2016,7,12,1.63,4.84,77.56,21.42,8.1,1.94
25.75,86.25,2016,7,13,3.32,3.57,77.09,21.51,7.48,1.91
25.75,86.25,2016,7,14,5.32,2.25,83.44,22.34,4.8,2
25.75,86.25,2016,7,15,10.6,3.08,84.81,22.13,4.67,1.93
25.75,86.25,2016,7,16,24.7,3.74,88.47,22.71,4.92,1.28
25.75,86.25,2016,7,17,27.56,3.16,84.97,21.7,5.05,1.1
25.75,86.25,2016,7,18,15.88,4.91,83.5,21.09,6.36,1.13
25.75,86.25,2016,7,19,7.87,3.46,84.03,21.82,6.96,1.33
25.75,86.25,2016,7,20,10.44,2.99,83.75,22.58,6.38,1.38
25.75,86.25,2016,7,21,5.41,2.33,81.25,21.88,6.91,0.98
25.75,86.25,2016,7,22,6.15,3.51,85.03,21.67,5.74,1.68
25.75,86.25,2016,7,23,23.76,2.96,90.97,21.21,3.32,1.6
25.75,86.25,2016,7,24,13.79,3.25,83.62,20.81,7.24,1.8
25.75,86.25,2016,7,25,6.49,4.49,88.88,21.09,4.47,1.73
25.75,86.25,2016,7,26,9.5,4.56,84.91,20.11,6.49,1.39
25.75,86.25,2016,7,27,2.29,3.05,84.28,20.66,6.71,1.8
25.75,86.25,2016,7,28,2.99,2.82,87.91,20.78,4.37,1.56
25.75,86.25,2016,7,29,2.16,1.39,79.75,20.63,6.61,1.95
25.75,86.25,2016,7,30,4.88,2.13,82.12,21,6.45,1.58
25.75,86.25,2016,7,31,5.39,1.14,79.81,20.78,6.21,1.84
25.75,86.25,2016,8,1,1.98,2.43,80.66,21.55,7.71,2.55
25.75,86.25,2016,8,2,8.52,4.16,87.75,21.48,4.18,2.22
25.75,86.25,2016,8,3,1.26,4.77,84.47,21.36,6.53,2.27
25.75,86.25,2016,8,4,0.23,3.59,85.41,22.03,6.27,2.41
25.75,86.25,2016,8,5,0.43,5.08,84.59,22.03,5.75,2.22
25.75,86.25,2016,8,6,1.27,6.5,86,21.76,6.47,1.94
25.75,86.25,2016,8,7,5.2,5.6,86.97,21.7,4.53,1.62
25.75,86.25,2016,8,8,5.12,3.34,86.47,21.67,5.71,2.14
25.75,86.25,2016,8,9,2.03,1.04,80.53,21.06,6.48,1.78
25.75,86.25,2016,8,10,4.99,2.4,82,21.09,5.06,2.16
25.75,86.25,2016,8,11,13.14,5.86,87.88,21.55,4.34,1.21
25.75,86.25,2016,8,12,3.79,6.5,83.78,21.39,6.52,1.6
25.75,86.25,2016,8,13,2.11,5.06,81.25,21,7.38,1.88
25.75,86.25,2016,8,14,2.98,3.71,82.16,21.51,6.79,2.02
25.75,86.25,2016,8,15,6.74,3.38,86,21.67,5.61,2.05
25.75,86.25,2016,8,16,2.74,2.04,84.66,22,5.82,1.48
25.75,86.25,2016,8,17,6.04,4.53,83.56,21.7,5.64,2.03
25.75,86.25,2016,8,18,1.87,6.81,87.12,21.76,5.34,1.47
25.75,86.25,2016,8,19,0.11,4.47,80.47,20.57,6.98,2.05
25.75,86.25,2016,8,20,0.05,2.32,75.88,20.2,10.06,2.01
25.75,86.25,2016,8,21,0.99,4.64,77.03,20.48,8.7,1.84
25.75,86.25,2016,8,22,10.58,6.04,88.12,20.87,4.31,1.04
25.75,86.25,2016,8,23,0.13,4.21,79.34,19.41,8.05,2.12
25.75,86.25,2016,8,24,0.14,1.86,76.78,20.05,8.03,1.95
25.75,86.25,2016,8,25,2.33,1.93,73.88,20.87,9.65,2.3
25.75,86.25,2016,8,26,6.96,2.19,84.5,21.45,4.76,1.91
25.75,86.25,2016,8,27,0.28,1.77,81.19,20.32,6.85,2.45
25.75,86.25,2016,8,28,0.16,2.01,72.66,19.84,10.68,2.27
25.75,86.25,2016,8,29,1.05,2.39,72.84,20.11,9.12,1.84
25.75,86.25,2016,8,30,6.09,2.26,77.88,21.12,7.84,1.87
25.75,86.25,2016,8,31,3.95,3.7,81,21.3,7.27,1.8
25.75,86.25,2016,9,1,12.1,2.96,82.53,21.33,6.62,1.65
25.75,86.25,2016,9,2,16.48,2.44,86.28,21.51,5.55,1.08
25.75,86.25,2016,9,3,20.81,2.46,86.81,21.76,5.38,1.27
25.75,86.25,2016,9,4,9.86,1.5,80.47,20.69,6.8,1.4
25.75,86.25,2016,9,5,26.03,1.52,81.06,20.66,5.98,0.97
25.75,86.25,2016,9,6,16.72,1.87,85.22,20.84,4.87,1.6
25.75,86.25,2016,9,7,14.2,3.36,92.38,21.82,3.85,1.29
25.75,86.25,2016,9,8,3.23,3.21,86.62,21.42,6.34,1.63
25.75,86.25,2016,9,9,1.01,1.84,84.56,21.3,6.49,1.69
25.75,86.25,2016,9,10,27.1,1.86,90.06,21.39,4.19,1.02
25.75,86.25,2016,9,11,36.85,1.7,87.25,21.09,5.11,1.44
25.75,86.25,2016,9,12,22.97,2.66,88.84,21.09,5.54,1.28
25.75,86.25,2016,9,13,10.23,1.97,86.44,20.81,6.07,1.57
25.75,86.25,2016,9,14,1.25,2.24,89.25,20.69,4.35,1.87
25.75,86.25,2016,9,15,0.96,1.75,84.94,20.45,7.08,1.95
25.75,86.25,2016,9,16,11.02,1.62,84.16,21.21,7.38,1.84
25.75,86.25,2016,9,17,8.88,1.71,88.47,21.48,4.99,1.51
25.75,86.25,2016,9,18,18.51,2.1,87.78,21.21,5.17,1.77
25.75,86.25,2016,9,19,6.79,1.62,83.94,20.72,6.8,1.52
25.75,86.25,2016,9,20,2.07,2.37,86.56,21.21,5.97,1.52
25.75,86.25,2016,9,21,12.6,3.39,91.81,20.6,3.53,1.19
25.75,86.25,2016,9,22,3.72,1.89,89.62,19.78,4.08,1.56
25.75,86.25,2016,9,23,2.45,2.29,89.81,19.99,5.39,1.68
25.75,86.25,2016,9,24,11.14,3.27,92.84,20.29,5.26,1.17
25.75,86.25,2016,9,25,27.28,4.27,91.16,20.17,5.76,1.4
25.75,86.25,2016,9,26,13.19,3.31,91.75,19.68,4.33,1.26
25.75,86.25,2016,9,27,11.32,1.78,90.81,19.87,5.01,1.26
25.75,86.25,2016,9,28,8.13,1.93,86.75,20.26,6.89,1.86
25.75,86.25,2016,9,29,6.08,1.4,86.12,20.45,6.55,1.49
25.75,86.25,2016,9,30,2.38,2.2,88.31,21.03,5.79,1.78
25.75,86.25,2016,10,1,0.29,1.62,85.22,20.42,6.49,1.73
25.75,86.25,2016,10,2,0.19,1.62,86.38,20.2,5.09,1.85
25.75,86.25,2016,10,3,1.12,1.61,82.34,19.96,8.25,1.75
25.75,86.25,2016,10,4,0.35,1.71,82.56,20.39,6.97,1.64
25.75,86.25,2016,10,5,0.48,1.23,81.06,20.54,7.23,1.6
25.75,86.25,2016,10,6,1.28,1.49,82.81,20.6,5.5,1.52
25.75,86.25,2016,10,7,9.95,1.53,85.06,20.14,5.23,1.69
25.75,86.25,2016,10,8,10.99,2.07,88.69,20.26,5.56,1.53
25.75,86.25,2016,10,9,14.63,1.43,89.44,20.08,3.96,0.99
25.75,86.25,2016,10,10,2.83,1.72,88.81,19.44,4.7,0.97
25.75,86.25,2016,10,11,4.08,1.75,85.06,19.13,7.35,1.19
25.75,86.25,2016,10,12,0.29,2.95,84.78,17.24,8.17,1.29
25.75,86.25,2016,10,13,0.17,2.79,85.72,16.6,10.43,1.38
25.75,86.25,2016,10,14,0.29,1.7,79.44,15.75,9.92,1.34
25.75,86.25,2016,10,15,0.14,1.96,80.25,15.29,9.79,1.34
25.75,86.25,2016,10,16,0,1.98,81,15.99,9.95,1.52
25.75,86.25,2016,10,17,0,2.27,82.41,16.2,10,1.49
25.75,86.25,2016,10,18,0.01,2,77.03,14.47,11.48,1.5
25.75,86.25,2016,10,19,0,2.59,75.44,13.24,12.35,1.48
25.75,86.25,2016,10,20,0,2.57,76.28,13.73,11.91,1.3
25.75,86.25,2016,10,21,0,2.48,78.88,14.16,11.3,1.35
25.75,86.25,2016,10,22,0,1.93,77.97,13.73,12.5,1.19
25.75,86.25,2016,10,23,0,2.34,85.12,14.74,10.59,1.09
25.75,86.25,2016,10,24,0,2.09,84.66,14.5,10.64,-999
25.75,86.25,2016,10,25,0,2.33,78.69,13.52,12.23,1.34
25.75,86.25,2016,10,26,0,1.55,72.06,12.85,12.42,1.38
25.75,86.25,2016,10,27,0,1.31,69.84,12.94,11.57,1.33
25.75,86.25,2016,10,28,0,1.79,74.09,13.46,11.11,1.27
25.75,86.25,2016,10,29,0,1.52,74,13.7,10.64,1.24
25.75,86.25,2016,10,30,0,1.91,72.84,13.18,10.96,1.32
25.75,86.25,2016,10,31,0,1.9,69.69,12.33,11.45,1.4
25.75,86.25,2016,11,1,0,2.22,73.28,12.57,9.38,1.41
25.75,86.25,2016,11,2,0,1.98,73.25,13.21,11.97,1.39
25.75,86.25,2016,11,3,0,1.73,68.69,12.7,12.48,1.4
25.75,86.25,2016,11,4,0,2.4,69,12.05,13.54,1.39
25.75,86.25,2016,11,5,0,1.72,67.47,12.18,11.93,1.29
25.75,86.25,2016,11,6,0,2.18,70.5,11.32,12.23,1.13
25.75,86.25,2016,11,7,0,3,75.5,11.47,12.87,1.02
25.75,86.25,2016,11,8,0,2.36,76.03,10.65,13.5,0.88
25.75,86.25,2016,11,9,0,1.84,77.94,10.77,14.38,1.05
25.75,86.25,2016,11,10,0,2.21,79.09,11.51,14.09,1.2
25.75,86.25,2016,11,11,0,2.63,76.41,11.63,13.54,1.15
25.75,86.25,2016,11,12,0,2.85,74.28,11.26,13.28,1.09
25.75,86.25,2016,11,13,0,2.98,72.12,10.47,13.82,0.98
25.75,86.25,2016,11,14,0,3.16,69.53,9.46,13.86,0.95
25.75,86.25,2016,11,15,0,3.13,69.25,8.94,15.33,1.01
25.75,86.25,2016,11,16,0,3.38,68.41,8.67,15.83,1.03
25.75,86.25,2016,11,17,0,2.92,68.22,8.39,15.52,0.98
25.75,86.25,2016,11,18,0,2.76,71.72,8.76,14.89,0.89
25.75,86.25,2016,11,19,0,2.3,74.19,9.12,14.76,0.78
25.75,86.25,2016,11,20,0,1.86,72.88,9.58,15.03,0.8
25.75,86.25,2016,11,21,0,2.57,76.69,10.01,14.16,0.84
25.75,86.25,2016,11,22,0,2.61,78.69,9.8,13.04,0.73
25.75,86.25,2016,11,23,0,1.8,77.19,9.43,13.34,0.73
25.75,86.25,2016,11,24,0,2.03,77.66,9.74,13.91,0.72
25.75,86.25,2016,11,25,0,2.46,77.47,9.67,13.79,0.63
25.75,86.25,2016,11,26,0,1.46,72,9.4,14.3,0.65
25.75,86.25,2016,11,27,0,1.61,73.78,10.1,12.55,0.7
25.75,86.25,2016,11,28,0,1.78,76.19,10.28,13.21,0.6
25.75,86.25,2016,11,29,0,1.41,76.88,10.86,12.26,0.75
25.75,86.25,2016,11,30,0,1.01,74.44,11.29,10.94,0.88
25.75,86.25,2016,12,1,0,1.47,73.78,11.29,12.17,0.86
25.75,86.25,2016,12,2,0,2.49,76.12,11.41,12.36,0.79
25.75,86.25,2016,12,3,0,2.71,75.66,10.83,12.47,0.62
25.75,86.25,2016,12,4,0,3.45,67.34,8.24,12.52,0.41
25.75,86.25,2016,12,5,0,3.07,65.16,7.02,15.63,0.5
25.75,86.25,2016,12,6,0,2.57,63.69,7.39,15.95,0.82
25.75,86.25,2016,12,7,0,2.48,66.75,8.15,15.29,0.76
25.75,86.25,2016,12,8,0,3.13,69.72,8.27,15.8,0.56
25.75,86.25,2016,12,9,0,3.45,66.12,7.26,14.9,0.82
25.75,86.25,2016,12,10,0,3.48,63.97,6.68,16.1,0.71
25.75,86.25,2016,12,11,0,3.22,65.28,6.74,15.92,0.59
25.75,86.25,2016,12,12,0,3.29,69.62,7.39,16.1,0.49
25.75,86.25,2016,12,13,0,2.92,64.84,6.87,15.54,0.7
25.75,86.25,2016,12,14,0,3.14,62.59,6.5,15.51,0.8
25.75,86.25,2016,12,15,0,3.11,62.72,6.16,17.12,0.83
25.75,86.25,2016,12,16,0,2.38,60.75,6.26,15.43,0.81
25.75,86.25,2016,12,17,0.01,2.82,62.94,7.05,15.83,0.78
25.75,86.25,2016,12,18,0,2.76,65.84,7.66,15.77,0.73
25.75,86.25,2016,12,19,0,3.62,61.53,6.65,14.2,0.72
25.75,86.25,2016,12,20,0,3.23,64.56,6.2,15.76,-999
25.75,86.25,2016,12,21,0,2.48,65.34,6.29,15.23,0.55
25.75,86.25,2016,12,22,0,1.78,61.78,6.41,14.94,0.49
25.75,86.25,2016,12,23,0,3.12,62.12,7.14,14.05,0.73
25.75,86.25,2016,12,24,0,2.7,64.66,7.45,15.09,0.62
25.75,86.25,2016,12,25,0,1.55,63.16,8.12,14.95,0.62
25.75,86.25,2016,12,26,0,2.26,64.78,8.18,11.74,0.39
25.75,86.25,2016,12,27,0,2.53,67.12,7.48,13.94,0.17
25.75,86.25,2016,12,28,0,2.33,57.88,6.07,14.52,0.3
25.75,86.25,2016,12,29,0,1.81,54.84,5.98,14.98,0.51
25.75,86.25,2016,12,30,0,2.09,60.75,7.2,14.81,0.58
25.75,86.25,2016,12,31,0,1.4,62.06,7.84,13.82,0.59
25.75,86.25,2017,1,1,0,1.38,63.06,8.48,12.21,0.68
25.75,86.25,2017,1,2,0.05,1.16,64.06,8.76,11.75,0.61
25.75,86.25,2017,1,3,0,2.58,62.31,8.21,13.36,0.65
25.75,86.25,2017,1,4,0,3.5,62.03,7.17,15.14,0.49
25.75,86.25,2017,1,5,0,3.29,57.16,6.2,15.51,0.48
25.75,86.25,2017,1,6,0,2.46,54.47,6.23,15.28,0.48
25.75,86.25,2017,1,7,0,1.73,48.69,5.95,14.89,0.75
25.75,86.25,2017,1,8,0,1.21,45.47,6.16,13.46,0.68
25.75,86.25,2017,1,9,0,2.16,55.22,7.14,13.02,0.7
25.75,86.25,2017,1,10,0.04,2.55,65.31,7.97,10.36,0.51
25.75,86.25,2017,1,11,0,4.15,55.41,5.86,14.17,0.66
25.75,86.25,2017,1,12,0,3.57,40.59,3.45,15.91,0.71
25.75,86.25,2017,1,13,0,3.7,44.06,3.39,17,0.8
25.75,86.25,2017,1,14,0,3.41,46,3.57,17.38,0.84
25.75,86.25,2017,1,15,0,3.43,47.41,4.09,17.35,0.89
25.75,86.25,2017,1,16,0,3.93,46.34,4.52,17.91,0.91
25.75,86.25,2017,1,17,0,2.73,50.28,5.55,16.01,0.64
25.75,86.25,2017,1,18,0,2.79,50.31,5.58,16.04,0.76
25.75,86.25,2017,1,19,0,3.68,51.19,5.74,18.14,0.8
25.75,86.25,2017,1,20,0,4.18,51.38,5.52,18.39,0.87
25.75,86.25,2017,1,21,0,2.99,55.22,5.37,18.55,0.93
25.75,86.25,2017,1,22,0,3.39,46.53,4.85,18.56,0.87
25.75,86.25,2017,1,23,0,3.71,55.56,6.41,17.49,0.73
25.75,86.25,2017,1,24,0,2.19,54.34,6.62,17.29,0.78
25.75,86.25,2017,1,25,0,1.46,48.66,6.29,16.74,0.87
25.75,86.25,2017,1,26,0,1.45,48.31,7.08,14.99,1.09
25.75,86.25,2017,1,27,1.01,1.67,45.38,7.32,15.02,0.77
25.75,86.25,2017,1,28,1.22,4.8,62.78,8.33,11.63,0.7
25.75,86.25,2017,1,29,0.04,3.13,59.06,6.77,16.11,0.8
25.75,86.25,2017,1,30,0,3.01,52.38,6.41,16.04,0.74
25.75,86.25,2017,1,31,0,3.02,49.34,6.01,16.45,0.7
25.75,86.25,2017,2,1,0,2.82,48.59,5.92,16.23,0.46
25.75,86.25,2017,2,2,0,2.99,48.69,5.86,15.22,0.43
25.75,86.25,2017,2,3,0,2.8,50.88,5.86,15.45,0.56
25.75,86.25,2017,2,4,0,1.93,49.19,6.41,17,0.92
25.75,86.25,2017,2,5,0,1.59,44.94,6.56,15.36,1.23
25.75,86.25,2017,2,6,0,2.94,46.38,6.74,18.09,1.21
25.75,86.25,2017,2,7,0,4.61,44.47,6.2,16.09,1.11
25.75,86.25,2017,2,8,0,3.8,37.97,4.61,19.55,1.29
25.75,86.25,2017,2,9,0,3.7,37.75,4.73,19.96,1.2
25.75,86.25,2017,2,10,0,4.04,40.03,5.28,16.66,1.14
25.75,86.25,2017,2,11,0,2.76,35,4.61,18.8,1.16
25.75,86.25,2017,2,12,0,2.26,37.94,5.62,16.13,0.98
25.75,86.25,2017,2,13,0,2.71,56.53,8,16.11,1.05
25.75,86.25,2017,2,14,0,3.27,45.91,6.68,16.33,0.83
25.75,86.25,2017,2,15,0,2.8,39.41,5.49,17.14,0.97
25.75,86.25,2017,2,16,0,2.78,36.22,4.82,17.37,1.04
25.75,86.25,2017,2,17,0,1.59,32.94,4.76,16.52,1.04
25.75,86.25,2017,2,18,0,1.66,34.47,5.71,16.66,0.85
25.75,86.25,2017,2,19,0,2.25,41.31,6.96,15.48,0.68
25.75,86.25,2017,2,20,0,3.56,44.06,7.32,16.21,1.02
25.75,86.25,2017,2,21,0,2.25,37.09,6.93,18.72,1.35
25.75,86.25,2017,2,22,0,3.95,32.03,5.77,16.45,1.53
25.75,86.25,2017,2,23,0,5.17,26.75,3.72,19.01,1.59
25.75,86.25,2017,2,24,0,4.61,27.66,3.45,20.77,1.68
25.75,86.25,2017,2,25,0,3.08,29.09,3.63,19.77,1.66
25.75,86.25,2017,2,26,0,3.46,29.94,4.12,19.8,1.66
25.75,86.25,2017,2,27,0,2.75,28.16,4,18.64,1.56
25.75,86.25,2017,2,28,0,2.64,28.41,4.21,19.21,1.62
25.75,86.25,2017,3,1,0,2.61,29.97,4.88,20.23,1.58
25.75,86.25,2017,3,2,0,2.95,30.91,5.8,19.17,-999
25.75,86.25,2017,3,3,0,3.55,30.56,6.16,16.41,1.54
25.75,86.25,2017,3,4,0.05,3.42,30.25,5.98,16.35,1.46
25.75,86.25,2017,3,5,0.86,3.38,29.22,5.55,15.08,1.36
25.75,86.25,2017,3,6,0,4.34,22.28,3.39,20.16,1.65
25.75,86.25,2017,3,7,0,2.68,19.59,3.17,20.27,1.68
25.75,86.25,2017,3,8,0,1.65,19.12,3.78,13.91,1.45
25.75,86.25,2017,3,9,0,1.81,33.91,6.13,17,0.96
25.75,86.25,2017,3,10,4.56,3.41,44.47,9.16,15.56,0.84
25.75,86.25,2017,3,11,5.98,4.25,63.78,10.74,8.59,0.86
25.75,86.25,2017,3,12,0.03,5.12,36.69,5.62,14.15,1.55
25.75,86.25,2017,3,13,0,4.05,28.75,3.81,18.37,1.8
25.75,86.25,2017,3,14,0,3.23,26.47,3.81,19.12,1.69
25.75,86.25,2017,3,15,0,3.25,27.69,4.09,16.94,1.63
25.75,86.25,2017,3,16,0,2.94,27.56,4.27,18.55,1.76
25.75,86.25,2017,3,17,0.11,2.78,28.5,5.28,17.86,1.48
25.75,86.25,2017,3,18,0.39,3.68,28.34,5.1,16.3,1.76
25.75,86.25,2017,3,19,0.27,3.24,40.06,6.04,13.48,0.93
25.75,86.25,2017,3,20,3.17,1.86,55.16,8.7,15.84,1.35
25.75,86.25,2017,3,21,0.53,1.37,36.97,6.77,16.3,1.55
25.75,86.25,2017,3,22,0.37,1.89,32.28,6.26,16.74,1.51
25.75,86.25,2017,3,23,0,2.14,41.41,8.58,16.59,1.54
25.75,86.25,2017,3,24,0.13,2.17,37.41,8.58,15.73,1.23
25.75,86.25,2017,3,25,3.72,1.86,35.22,8.39,16.33,1.38
25.75,86.25,2017,3,26,0.07,2.69,45.44,9.98,16.45,1.35
25.75,86.25,2017,3,27,0.01,1.68,34,8.24,16.52,1.47
25.75,86.25,2017,3,28,0.77,2.38,38.31,9.31,16.2,1.12
25.75,86.25,2017,3,29,0.31,2.24,42.41,10.93,13.95,0.89
25.75,86.25,2017,3,30,0.01,3.24,32.81,8.24,18.59,1.46
25.75,86.25,2017,3,31,0.02,2.44,28.34,8.03,15.18,1.34
25.75,86.25,2017,4,1,0,2.9,30.06,7.75,18.28,1.64
25.75,86.25,2017,4,2,0.04,3,17.78,5.34,15.08,1.63
25.75,86.25,2017,4,3,0.09,3.05,17.25,4.97,16.8,1.66
25.75,86.25,2017,4,4,0.14,3.79,36.34,9.43,16.59,1.66
25.75,86.25,2017,4,5,0.03,3.53,43.81,10.99,14.8,1.41
25.75,86.25,2017,4,6,0,2.96,43.19,12.08,15.24,1.34
25.75,86.25,2017,4,7,0.3,2.44,35.78,10.99,16.06,1.41
25.75,86.25,2017,4,8,0.23,2.04,26.16,8.79,15.06,1.95
25.75,86.25,2017,4,9,0.05,5.6,13.28,3.48,16.88,2.23
25.75,86.25,2017,4,10,0,5.25,9.88,2.26,19.78,2.47
25.75,86.25,2017,4,11,0,3.51,10.44,2.53,21.13,2.42
25.75,86.25,2017,4,12,0,2.42,13.06,3.36,18.09,2.22
25.75,86.25,2017,4,13,0,3.51,27.5,6.53,18.7,1.8
25.75,86.25,2017,4,14,0,2.81,32.09,8.82,16.8,1.71
25.75,86.25,2017,4,15,1.95,3.85,35.88,9.64,16.26,1.45
25.75,86.25,2017,4,16,2.19,4.73,44.91,11.6,14.05,1.16
25.75,86.25,2017,4,17,0,2.65,44.44,11.23,16.14,2.05
25.75,86.25,2017,4,18,0.08,3.58,37.81,11.35,15.52,1.59
25.75,86.25,2017,4,19,9.76,3.57,55.03,15.87,8.27,1.15
25.75,86.25,2017,4,20,2.16,3.59,57.31,15.53,10.99,0.66
25.75,86.25,2017,4,21,3.2,3.16,55.09,15.35,11.99,0.86
25.75,86.25,2017,4,22,4.01,3.2,55.5,15.08,12.46,1.01
25.75,86.25,2017,4,23,8.8,3.71,58.31,15.01,11.06,1.35
25.75,86.25,2017,4,24,0.83,3.48,48.06,13.03,16.48,2.09
25.75,86.25,2017,4,25,0,4.3,29.38,8.91,16.16,2.16
25.75,86.25,2017,4,26,0,4.91,22.16,6.59,18.59,2.51
25.75,86.25,2017,4,27,0,3.68,23.62,6.93,17.47,2.48
25.75,86.25,2017,4,28,0,3.32,22.91,6.87,16.46,2.25
25.75,86.25,2017,4,29,0.09,2.39,32.22,9.46,17.05,2.11
25.75,86.25,2017,4,30,0.02,2.72,41.41,12.3,15.23,1.79
25.75,86.25,2017,5,1,2.3,2.79,42.91,12.94,11.3,1.45
25.75,86.25,2017,5,2,1.21,2.02,41,11.08,13.98,2.09
25.75,86.25,2017,5,3,0,2.56,31.84,9.16,16.95,2.16
25.75,86.25,2017,5,4,0.18,2.97,37.38,11.05,14.82,1.72
25.75,86.25,2017,5,5,0.95,2.59,23.41,7.78,14.73,2.16
25.75,86.25,2017,5,6,0.12,3.48,36.12,10.89,16.71,2
25.75,86.25,2017,5,7,0.06,3.62,46.28,14.22,14.72,2.01
25.75,86.25,2017,5,8,3.84,4.45,46.84,14.74,12.23,1.68
25.75,86.25,2017,5,9,18.12,4.06,59.81,16.57,8,0.78
25.75,86.25,2017,5,10,2,3.59,54.19,15.23,10.45,1.62
25.75,86.25,2017,5,11,2.62,2.93,51.72,15.32,12.74,1.72
25.75,86.25,2017,5,12,1.93,2.77,48.22,14.86,12.47,2.08
25.75,86.25,2017,5,13,2.99,2.94,52.28,15.93,11.54,1.7
25.75,86.25,2017,5,14,0.16,3.36,45.34,14.59,13.91,1.78
25.75,86.25,2017,5,15,4.53,5.26,54.5,16.82,11.41,1.83
25.75,86.25,2017,5,16,4.82,5.81,57.97,16.82,13.04,2.02
25.75,86.25,2017,5,17,10.93,3.61,59.09,17.27,10.26,1.95
25.75,86.25,2017,5,18,2.43,2.05,50.59,15.93,13.73,2.24
25.75,86.25,2017,5,19,0.31,2.52,35.81,12.08,13.82,2.2
25.75,86.25,2017,5,20,0.09,1.5,33.22,11.75,14.12,2.16
25.75,86.25,2017,5,21,0.08,1.96,36.97,12.63,15.5,2.14
25.75,86.25,2017,5,22,0.04,2.3,44.59,14.65,14.3,2.12
25.75,86.25,2017,5,23,0.89,4.36,48.09,16.45,13.67,2.09
25.75,86.25,2017,5,24,3,2.86,46.91,16.51,11.8,2.18
25.75,86.25,2017,5,25,3.01,3.11,43.91,15.41,13.59,1.82
25.75,86.25,2017,5,26,27.55,4.96,61.19,19.13,9.51,1.61
